verbal,Inform/Explore,61
untraceable,Inform/Explore,3
poison,Inform/Explore,13
when,Inform/Explore,1383
partner,Inform/Explore,113
constantly,Inform/Explore,53
makes,Inform/Explore,345
fun,Inform/Explore,25
because,Inform/Explore,1698
way,Inform/Explore,683
talk,Inform/Explore,135
walk,Inform/Explore,31
andor,Inform/Explore,27
look,Inform/Explore,202
form,Inform/Explore,127
puts,Inform/Explore,29
down,Inform/Explore,190
saying,Inform/Explore,188
negative,Inform/Explore,129
things,Inform/Explore,339
playing,Inform/Explore,54
someones,Inform/Explore,33
emotions,Inform/Explore,181
mind,Inform/Explore,125
games,Inform/Explore,65
forms,Inform/Explore,54
later,Inform/Explore,140
lead,Inform/Explore,96
trauma,Inform/Explore,20
trust,Inform/Explore,54
issues,Inform/Explore,130
insecurities,Inform/Explore,4
type,Inform/Explore,146
violence,Inform/Explore,261
effects,Inform/Explore,83
ways,Inform/Explore,228
leaves,Inform/Explore,32
victim,Inform/Explore,120
worthless,Inform/Explore,8
empowered,Inform/Explore,5
having,Inform/Explore,312
resentful,Inform/Explore,4
arguments,Inform/Explore,62
about,Inform/Explore,1381
who,Inform/Explore,1081
important,Inform/Explore,275
decisions,Inform/Explore,34
why,Inform/Explore,454
manipulation,Inform/Explore,28
common,Inform/Explore,134
problem,Inform/Explore,125
theres,Inform/Explore,57
no,Inform/Explore,670
out,Inform/Explore,701
will,Inform/Explore,902
continue,Inform/Explore,65
mentally,Inform/Explore,32
abused,Inform/Explore,70
literally,Inform/Explore,9
stuck,Inform/Explore,30
rock,Inform/Explore,12
hard,Inform/Explore,150
place,Inform/Explore,190
matter,Inform/Explore,130
abuser,Inform/Explore,52
says,Inform/Explore,257
always,Inform/Explore,263
trap,Inform/Explore,4
ties,Inform/Explore,21
cant,Inform/Explore,95
just,Inform/Explore,696
leave,Inform/Explore,124
luring,Inform/Explore,2
apologetic,Inform/Explore,3
words,Inform/Explore,240
domestic,Inform/Explore,132
aggression,Inform/Explore,12
grabbing,Inform/Explore,8
shaking,Inform/Explore,2
physically,Inform/Explore,85
striking,Inform/Explore,8
aggressor,Inform/Explore,5
situation,Inform/Explore,163
could,Inform/Explore,558
had,Inform/Explore,1040
bad,Inform/Explore,194
day,Inform/Explore,224
irritated,Inform/Explore,4
angry,Inform/Explore,38
decided,Inform/Explore,52
harm,Inform/Explore,36
frustration,Inform/Explore,11
isnt,Inform/Explore,96
hitting,Inform/Explore,20
kicking,Inform/Explore,6
pulling,Inform/Explore,11
hair,Inform/Explore,50
yanking,Inform/Explore,2
conclusion,Inform/Explore,127
pain,Inform/Explore,42
especially,Inform/Explore,101
lover,Inform/Explore,12
if,Inform/Explore,918
anyone,Inform/Explore,109
know,Inform/Explore,346
think,Inform/Explore,436
maybe,Inform/Explore,46
abusive,Inform/Explore,143
relationship,Inform/Explore,350
pay,Inform/Explore,55
attention,Inform/Explore,160
signs,Inform/Explore,43
try,Inform/Explore,111
call,Inform/Explore,61
national,Inform/Explore,101
hotline,Inform/Explore,18
growth,Inform/Explore,32
free,Inform/Explore,96
enslaved,Inform/Explore,26
17th,Inform/Explore,15
century,Inform/Explore,40
virginia,Inform/Explore,56
lot,Inform/Explore,205
changing,Inform/Explore,30
freedom,Inform/Explore,199
african,Inform/Explore,165
